"","Entity","Disasters","Deathcounts"
"1","Afghanistan","Drought",3.7
"2","Afghanistan","Earthquakes",1155.3
"3","Afghanistan","Floods",501.4
"4","Afghanistan","Storms",49.2
"5","Afghanistan","ExtremeTemperature",193.4
"6","Afghanistan","Landslides",180
"7","Africa","Drought",86713.1
"8","Africa","Earthquakes",2141.7
"9","Africa","Floods",3006.8
"10","Africa","Storms",777.3
"11","Africa","ExtremeTemperature",37.2
"12","Africa","Wildfires",33.7
"13","Africa","Landslides",312.4
"14","Africa","VolcanicActivities",221.8
"15","Africa","MassMovements",22.2
"16","Albania","Earthquakes",62.6
"17","Albania","Floods",2.3
"18","Albania","Storms",0.8
"19","Albania","ExtremeTemperature",8.2
"20","Albania","Landslides",5.7
"21","Algeria","Earthquakes",677.1
"22","Algeria","Floods",488.2
"23","Algeria","Storms",2.7
"24","Algeria","ExtremeTemperature",4.8
"25","Algeria","Wildfires",3
"26","Algeria","Landslides",1.5
"27","American Samoa","Earthquakes",3.4
"28","American Samoa","Floods",0.6
"29","American Samoa","Storms",9
"30","Angola","Drought",5.8
"31","Angola","Floods",77
"32","Angola","Landslides",1.3
"33","Anguilla","Storms",0.9
"34","Antigua and Barbuda","Storms",1.3
"35","Argentina","Drought",0.8
"36","Argentina","Earthquakes",1047.6
"37","Argentina","Floods",85.7
"38","Argentina","Storms",29.8
"39","Argentina","ExtremeTemperature",18.5
"40","Argentina","Wildfires",3.2
"41","Argentina","Landslides",10.3
"42","Armenia","Earthquakes",289
"43","Armenia","Floods",0.5
"44","Asia","Drought",966347.7
"45","Asia","Earthquakes",160015.7
"46","Asia","Floods",683866.2
"47","Asia","Storms",127867.7
"48","Asia","ExtremeTemperature",2761.8
"49","Asia","Wildfires",84.1
"50","Asia","Landslides",2503.7
"51","Asia","VolcanicActivities",1684.3
"52","Asia","MassMovements",164.9
"53","Australia","Drought",60
"54","Australia","Earthquakes",1.2
"55","Australia","Floods",32.2
"56","Australia","Storms",24.8
"57","Australia","ExtremeTemperature",50.9
"58","Australia","Wildfires",53.3
"59","Australia","Landslides",2.8
"60","Austria","Floods",4.3
"61","Austria","Storms",3.8
"62","Austria","ExtremeTemperature",35.8
"63","Austria","Landslides",35.8
"64","Azerbaijan","Earthquakes",11.9
"65","Azerbaijan","Floods",1.9
"66","Azerbaijan","ExtremeTemperature",0.5
"67","Azerbaijan","Landslides",1.1
"68","Bahamas","Storms",45
"69","Bangladesh","Drought",190001.8
"70","Bangladesh","Earthquakes",4.5
"71","Bangladesh","Floods",5273
"72","Bangladesh","Storms",63489.6
"73","Bangladesh","ExtremeTemperature",252.4
"74","Bangladesh","Landslides",26.5
"75","Barbados","Floods",0.3
"76","Barbados","Storms",5.9
"77","Belarus","Floods",0.2
"78","Belarus","Storms",0.5
"79","Belarus","ExtremeTemperature",5.4
"80","Belgium","Earthquakes",0.2
"81","Belgium","Floods",2.8
"82","Belgium","Storms",9.9
"83","Belgium","ExtremeTemperature",325.9
"84","Belize","Floods",0.1
"85","Belize","Storms",185.9
"86","Benin","Floods",18.3
"87","Benin","Wildfires",0.3
"88","Bermuda","Storms",0.4
"89","Bhutan","Earthquakes",1.2
"90","Bhutan","Floods",22.2
"91","Bhutan","Storms",2.9
"92","Bolivia","Earthquakes",10
"93","Bolivia","Floods",120.7
"94","Bolivia","Storms",2
"95","Bolivia","ExtremeTemperature",3.7
"96","Bolivia","Wildfires",0.3
"97","Bolivia","Landslides",33.4
"98","Bosnia and Herzegovina","Floods",3
"99","Bosnia and Herzegovina","Storms",0.4
"100","Bosnia and Herzegovina","ExtremeTemperature",0.7
"101","Bosnia and Herzegovina","Landslides",0.6
"102","Botswana","Floods",4.3
"103","Brazil","Drought",2
"104","Brazil","Earthquakes",0.2
"105","Brazil","Floods",783.8
"106","Brazil","Storms",35.4
"107","Brazil","ExtremeTemperature",35.5
"108","Brazil","Wildfires",0.1
"109","Brazil","Landslides",174.5
"110","British Virgin Islands","Storms",0.9
"111","Bulgaria","Earthquakes",13.1
"112","Bulgaria","Floods",8.2
"113","Bulgaria","Storms",0.3
"114","Bulgaria","ExtremeTemperature",7.6
"115","Bulgaria","Wildfires",1
"116","Bulgaria","Landslides",1.1
"117","Burkina Faso","Floods",17.2
"118","Burundi","Drought",12.6
"119","Burundi","Earthquakes",0.3
"120","Burundi","Floods",22
"121","Burundi","Storms",2.1
"122","Burundi","Landslides",5.4
"123","Cambodia","Floods",165.3
"124","Cambodia","Storms",4.4
"125","Cameroon","Floods",13.1
"126","Cameroon","Landslides",7.4
"127","Cameroon","VolcanicActivities",178.3
"128","Canada","Earthquakes",2.7
"129","Canada","Floods",5
"130","Canada","Storms",30.2
"131","Canada","ExtremeTemperature",58
"132","Canada","Wildfires",11.9
"133","Canada","Landslides",14.4
"134","Canada","MassMovements",16.1
"135","Cape Verde","Drought",8500
"136","Cape Verde","Floods",0.3
"137","Cape Verde","Storms",4.1
"138","Cayman Islands","Storms",0.2
"139","Central African Republic","Floods",1.6
"140","Central African Republic","Storms",0.8
"141","Central African Republic","Wildfires",0.1
"142","Chad","Drought",300
"143","Chad","Floods",30.1
