"","Entity","Year","total_affected_rate_per_100k_all_disasters"
"1","Afghanistan",1950,2.381235861
"2","Afghanistan",1960,44.06095098
"3","Afghanistan",1970,547.0298754
"4","Afghanistan",1980,218.0818593
"5","Afghanistan",1990,316.1508141
"6","Afghanistan",2000,2444.428454
"7","Afghanistan",2010,4378.180393
"8","Africa",1900,0
"9","Africa",1910,2.254417284
"10","Africa",1920,0
"11","Africa",1930,0.405802795
"12","Africa",1940,0
"13","Africa",1950,5.429517426
"14","Africa",1960,313.3322115
"15","Africa",1970,672.3039382
"16","Africa",1980,1772.268203
"17","Africa",1990,1494.650018
"18","Africa",2000,1618.18661
"19","Africa",2010,1462.420455
"20","Albania",1900,0
"21","Albania",1910,0
"22","Albania",1920,0
"23","Albania",1930,30.00017717
"24","Albania",1940,0.956435244
"25","Albania",1950,0
"26","Albania",1960,1.556411117
"27","Albania",1970,1.331811263
"28","Albania",1980,9866.014078
"29","Albania",1990,151.6248819
"30","Albania",2000,1942.705931
"31","Albania",2010,1795.653026
"32","Algeria",1910,0
"33","Algeria",1920,0
"34","Algeria",1930,0
"35","Algeria",1940,0
"36","Algeria",1950,140.4288703
"37","Algeria",1960,271.5485418
"38","Algeria",1970,121.4066205
"39","Algeria",1980,505.9546871
"40","Algeria",1990,23.74454763
"41","Algeria",2000,125.595244
"42","Algeria",2010,68.44954432
"43","American Samoa",1960,0
"44","American Samoa",1970,0
"45","American Samoa",1980,0
"46","American Samoa",1990,0
"47","American Samoa",2000,4282.438299
"48","Angola",1980,2340.462302
"49","Angola",1990,70.60247445
"50","Angola",2000,428.1840478
"51","Angola",2010,1347.258543
"52","Anguilla",1910,0
"53","Anguilla",1920,0
"54","Anguilla",1930,0
"55","Anguilla",1940,0
"56","Anguilla",1950,0
"57","Anguilla",1960,2083.333333
"58","Anguilla",1970,0
"59","Anguilla",1980,0
"60","Anguilla",1990,136.3636364
"61","Anguilla",2000,0
"62","Anguilla",2010,10000
"63","Antigua and Barbuda",1950,0
"64","Antigua and Barbuda",1960,0
"65","Antigua and Barbuda",1970,0
"66","Antigua and Barbuda",1980,13391.93548
"67","Antigua and Barbuda",1990,1608.185666
"68","Antigua and Barbuda",2000,3035.294118
"69","Antigua and Barbuda",2010,757.6555024
"70","Argentina",1920,0
"71","Argentina",1930,0
"72","Argentina",1940,102.3156136
"73","Argentina",1950,0
"74","Argentina",1960,146.2118986
"75","Argentina",1970,63.28095489
"76","Argentina",1980,4100.075424
"77","Argentina",1990,162.400739
"78","Argentina",2000,198.633375
"79","Argentina",2010,186.3215572
"80","Armenia",1930,0
"81","Armenia",1940,0
"82","Armenia",1950,0
"83","Armenia",1960,0
"84","Armenia",1970,0
"85","Armenia",1980,0
"86","Armenia",1990,70.68340763
"87","Armenia",2000,967.4267101
"88","Armenia",2010,337.8946613
"89","Asia",1900,1.286156486
"90","Asia",1910,36.65807933
"91","Asia",1920,204.0656253
"92","Asia",1930,119.4113435
"93","Asia",1940,23.6365609
"94","Asia",1950,128.384135
"95","Asia",1960,906.2598461
"96","Asia",1970,2037.296596
"97","Asia",1980,3622.779291
"98","Asia",1990,5250.203586
"99","Asia",2000,5204.007421
"100","Asia",2010,3165.570913
"101","Australia",1930,5.585067306
"102","Australia",1940,2.867904327
"103","Australia",1950,0
"104","Australia",1960,7.590307243
"105","Australia",1970,49.72375444
"106","Australia",1980,63.36983611
"107","Australia",1990,8886.147727
"108","Australia",2000,46.94458156
"109","Australia",2010,153.2473058
"110","Austria",1950,0.547313841
"111","Austria",1960,0
"112","Austria",1970,0
"113","Austria",1980,0
"114","Austria",1990,12.42081729
"115","Austria",2000,75.8464605
"116","Austria",2010,0.607903751
"117","Azerbaijan",1900,93.5547498
"118","Azerbaijan",1910,0
"119","Azerbaijan",1920,0
"120","Azerbaijan",1930,0
"121","Azerbaijan",1940,0
"122","Azerbaijan",1950,0
"123","Azerbaijan",1960,0
"124","Azerbaijan",1970,0
"125","Azerbaijan",1980,0
"126","Azerbaijan",1990,3115.620905
"127","Azerbaijan",2000,47.33293997
"128","Azerbaijan",2010,101.7860784
"129","Bahamas",1920,0
"130","Bahamas",1930,0
"131","Bahamas",1940,0
"132","Bahamas",1950,0
"133","Bahamas",1960,85.91976517
"134","Bahamas",1970,0
"135","Bahamas",1980,0
"136","Bahamas",1990,63.90977444
"137","Bahamas",2000,623.2099435
"138","Bahamas",2010,868.4991955
"139","Bangladesh",1900,0
"140","Bangladesh",1910,0
"141","Bangladesh",1920,7.562467799
"142","Bangladesh",1930,0
"143","Bangladesh",1940,0
"144","Bangladesh",1950,0
"145","Bangladesh",1960,6292.1833
"146","Bangladesh",1970,8305.987954
"147","Bangladesh",1980,18032.53547
"148","Bangladesh",1990,7226.993838
"149","Bangladesh",2000,5198.031313
"150","Bangladesh",2010,2514.265306
"151","Barbados",1950,0
"152","Barbados",1960,0
"153","Barbados",1970,8.786610879
"154","Barbados",1980,211.5267735
"155","Barbados",1990,0
"156","Barbados",2000,105.2959156
"157","Barbados",2010,88.65248227
"158","Belarus",1990,62.85327561
"159","Belarus",2000,1.903367496
"160","Belarus",2010,151.9258696
"161","Belgium",1900,0
"162","Belgium",1910,0
"163","Belgium",1920,7.528861892
"164","Belgium",1930,0
"165","Belgium",1940,0
"166","Belgium",1950,0.398678665
"167","Belgium",1960,0.104942806
"168","Belgium",1970,0.620925179
"169","Belgium",1980,1.040614266
"170","Belgium",1990,2.530517189
"171","Belgium",2000,2.516463064
"172","Belgium",2010,0.695234047
"173","Belize",1930,0
"174","Belize",1940,0
"175","Belize",1950,0
"176","Belize",1960,0
"177","Belize",1970,6980.839886
"178","Belize",1980,0
"179","Belize",1990,2734.299517
"180","Belize",2000,5549.926342
"181","Belize",2010,835.4024901
"182","Benin",1960,403.3672396
"183","Benin",1970,20.43132804
"184","Benin",1980,8416.124418
"185","Benin",1990,1328.392821
"186","Benin",2000,329.4789634
"187","Benin",2010,1001.540049
"188","Bermuda",1940,0
"189","Bermuda",1950,0
"190","Bermuda",1960,0
"191","Bermuda",1970,0
"192","Bermuda",1980,6.666666667
"193","Bermuda",1990,0
"194","Bermuda",2000,0
"195","Bhutan",1990,1233.082707
"196","Bhutan",2000,17.09746492
"197","Bhutan",2010,288.8311688
"198","Bolivia",1960,76.99156772
"199","Bolivia",1970,541.9662441
"200","Bolivia",1980,5887.324762
"201","Bolivia",1990,1028.441845
"202","Bolivia",2000,1724.061913
"203","Bolivia",2010,2522.984252
"204","Bosnia and Herzegovina",1990,2.912102592
"205","Bosnia and Herzegovina",2000,974.9306882
"206","Bosnia and Herzegovina",2010,2998.860969
"207","Botswana",1960,2076.453697
"208","Botswana",1970,1409.896962
"209","Botswana",1980,11253.82177
"210","Botswana",1990,814.4412127
"211","Botswana",2000,898.6244775
"212","Botswana",2010,218.8214129
"213","Brazil",1940,0
"214","Brazil",1950,0
"215","Brazil",1960,563.8958161
"216","Brazil",1970,1735.175995
"217","Brazil",1980,2254.158529
"218","Brazil",1990,610.3511574
"219","Brazil",2000,350.1518088
"220","Brazil",2010,2166.841594
"221","British Virgin Islands",1990,1.5
"222","British Virgin Islands",2000,0
"223","British Virgin Islands",2010,0
"224","Brunei",1990,0
"225","Bulgaria",1920,0
"226","Bulgaria",1930,0
"227","Bulgaria",1940,0
"228","Bulgaria",1950,0
"229","Bulgaria",1960,0
"230","Bulgaria",1970,0.187457396
"231","Bulgaria",1980,3.410230692
"232","Bulgaria",1990,7.524348795
"233","Bulgaria",2000,18.28641086
"234","Bulgaria",2010,64.79914144
"235","Burkina Faso",1910,0
"236","Burkina Faso",1920,0
"237","Burkina Faso",1930,0
"238","Burkina Faso",1940,0
"239","Burkina Faso",1950,0
"240","Burkina Faso",1960,1763.748191
"241","Burkina Faso",1970,705.90121
"242","Burkina Faso",1980,2113.999922
"243","Burkina Faso",1990,3113.766253
"244","Burkina Faso",2000,216.4014541
"245","Burkina Faso",2010,4186.656779
"246","Burundi",1980,6.783493499
"247","Burundi",1990,1086.341152
"248","Burundi",2000,3358.188135
"249","Burundi",2010,80.21985424
"250","Cambodia",1980,0
"251","Cambodia",1990,7582.135954
"252","Cambodia",2000,6722.114784
"253","Cambodia",2010,4393.121867
"254","Cameroon",1970,597.9073244
"255","Cameroon",1980,10.94333858
"256","Cameroon",1990,161.4768602
"257","Cameroon",2000,19.8055414
"258","Cameroon",2010,160.0083944
"259","Canada",1900,0.068342116
"260","Canada",1910,3.851877837
"261","Canada",1920,12.06530357
"262","Canada",1930,23.5611156
"263","Canada",1940,0
"264","Canada",1950,79.19433895
"265","Canada",1960,0.011208478
"266","Canada",1970,0.837960211
"267","Canada",1980,27.01253762
"268","Canada",1990,26.31683994
"269","Canada",2000,5.992507641
"270","Canada",2010,85.57702437
"271","Cape Verde",1900,0
"272","Cape Verde",1910,0
"273","Cape Verde",1920,0
"274","Cape Verde",1930,0
"275","Cape Verde",1940,0
"276","Cape Verde",1950,0
"277","Cape Verde",1960,0
"278","Cape Verde",1970,0
"279","Cape Verde",1980,255.3167934
"280","Cape Verde",1990,405.4986263
"281","Cape Verde",2000,680.2809851
"282","Cape Verde",2010,1351.800723
"283","Cayman Islands",2000,66.66666667
"284","Central African Republic",1970,68.60158311
"285","Central African Republic",1980,8.171378092
"286","Central African Republic",1990,220.8430303
"287","Central African Republic",2000,177.3992039
"288","Central African Republic",2010,177.2848339
"289","Chad",1910,0
"290","Chad",1920,0
"291","Chad",1930,0
"292","Chad",1940,0
"293","Chad",1950,0
"294","Chad",1960,2522.421525
"295","Chad",1970,0.235017626
"296","Chad",1980,3411.09276
"297","Chad",1990,1263.354649
"298","Chad",2000,3384.679648
"299","Chad",2010,3109.125755
"300","Chile",1900,0
"301","Chile",1910,0
"302","Chile",1920,0
"303","Chile",1930,115.7892612
"304","Chile",1940,0.349005498
"305","Chile",1950,0.123258289
"306","Chile",1960,3034.852816
"307","Chile",1970,2512.100588
"308","Chile",1980,1714.955842
"309","Chile",1990,238.8409608
"310","Chile",2000,480.0897566
"311","Chile",2010,2418.315525
"312","China",1900,0.241437524
"313","China",1910,80.9288446
"314","China",1920,426.9584864
"315","China",1930,271.5520426
"316","China",1940,2.078032809
"317","China",1950,183.0647691
"318","China",1960,0.694970834
"319","China",1970,188.2417911
"320","China",1980,2062.438835
"321","China",1990,10107.1462
"322","China",2000,8902.806217
"323","China",2010,3944.355873
"324","Colombia",1900,0
"325","Colombia",1910,0
"326","Colombia",1920,0
"327","Colombia",1930,0
"328","Colombia",1940,0
"329","Colombia",1950,33.41389221
"330","Colombia",1960,54.39634031
"331","Colombia",1970,2425.796938
"332","Colombia",1980,188.5371857
"333","Colombia",1990,503.4332401
"334","Colombia",2000,1284.834187
"335","Colombia",2010,1062.262861
"336","Comoros",1900,0
"337","Comoros",1910,0
"338","Comoros",1920,0
"339","Comoros",1930,0
"340","Comoros",1940,0
"341","Comoros",1950,0
"342","Comoros",1960,0
"343","Comoros",1970,905.7971014
"344","Comoros",1980,3206.580202
"345","Comoros",1990,4.716981132
"346","Comoros",2000,4682.815776
"347","Comoros",2010,5214.452822
"348","Congo",1960,5.475409836
"349","Congo",1970,0
"350","Congo",1980,0
"351","Congo",1990,268.689495
"352","Congo",2000,243.4917518
"353","Congo",2010,417.1542782
"354","Costa Rica",1910,0
"355","Costa Rica",1920,0
"356","Costa Rica",1930,0
"357","Costa Rica",1940,0
"358","Costa Rica",1950,0
"359","Costa Rica",1960,150.2214349
"360","Costa Rica",1970,427.0358486
"361","Costa Rica",1980,499.8077057
"362","Costa Rica",1990,2903.431189
"363","Costa Rica",2000,1069.059461
"364","Costa Rica",2010,563.2320281
"365","Cote d'Ivoire",1980,6.085898105
"366","Cote d'Ivoire",1990,0
"367","Cote d'Ivoire",2000,6.261048533
"368","Cote d'Ivoire",2010,18.88872422
"369","Croatia",1990,4.371584699
"370","Croatia",2000,5.159650471
"371","Croatia",2010,40.15949405
"372","Cuba",1920,0
"373","Cuba",1930,1.159067933
"374","Cuba",1940,0.556449378
"375","Cuba",1950,0
"376","Cuba",1960,214.4547135
"377","Cuba",1970,18.84378333
"378","Cuba",1980,996.0721393
"379","Cuba",1990,2317.161431
"380","Cuba",2000,8785.391629
"381","Cuba",2010,9316.358525
"382","Cyprus",1950,50.68226121
"383","Cyprus",1960,51.15511551
"384","Cyprus",1970,0
"385","Cyprus",1980,0
"386","Cyprus",1990,22.91297551
"387","Cyprus",2000,4.642602314
"388","Czechia",1990,98.82659164
"389","Czechia",2000,213.0656301
"390","Czechia",2010,1229.249687
"391","Czechoslovakia",1970,0
"392","Czechoslovakia",1980,0
"393","Democratic Republic of Congo",1960,2.421500227
"394","Democratic Republic of Congo",1970,225.095909
"395","Democratic Republic of Congo",1980,105.6631522
"396","Democratic Republic of Congo",1990,33.12840623
"397","Democratic Republic of Congo",2000,50.88317938
"398","Democratic Republic of Congo",2010,96.21745786
"399","Denmark",1970,0
"400","Denmark",1980,0
"401","Denmark",1990,0
"402","Denmark",2000,0
"403","Denmark",2010,0
"404","Djibouti",1970,6726.756998
"405","Djibouti",1980,12021.45543
"406","Djibouti",1990,5246.030274
"407","Djibouti",2000,7908.768167
"408","Djibouti",2010,5211.447139
"409","Dominica",1930,0
"410","Dominica",1940,0
"411","Dominica",1950,0
"412","Dominica",1960,0
"413","Dominica",1970,9613.333333
"414","Dominica",1980,1451.351351
"415","Dominica",1990,806.5090543
"416","Dominica",2000,1074.849095
"417","Dominica",2010,14116.47887
"418","Dominican Republic",1930,93.08148586
"419","Dominican Republic",1940,0
"420","Dominican Republic",1950,0
"421","Dominican Republic",1960,597.3267514
"422","Dominican Republic",1970,2741.537377
"423","Dominican Republic",1980,1992.722939
"424","Dominican Republic",1990,1250.537744
"425","Dominican Republic",2000,326.7471978
"426","Dominican Republic",2010,2925.575402
"427","Ecuador",1920,0
"428","Ecuador",1930,0
"429","Ecuador",1940,302.0663452
"430","Ecuador",1950,0
"431","Ecuador",1960,1310.073868
"432","Ecuador",1970,505.1373011
"433","Ecuador",1980,1269.62142
"434","Ecuador",1990,383.7420368
"435","Ecuador",2000,739.629478
"436","Ecuador",2010,907.9028549
"437","Egypt",1920,0
"438","Egypt",1930,0
"439","Egypt",1940,0
"440","Egypt",1950,0.012057012
"441","Egypt",1960,0.16348693
"442","Egypt",1970,19.16388672
"443","Egypt",1980,0.00211571
"444","Egypt",1990,42.71746754
"445","Egypt",2000,0.265116503
"446","Egypt",2010,3.898187513
"447","El Salvador",1930,0
"448","El Salvador",1940,0
"449","El Salvador",1950,0
"450","El Salvador",1960,449.4603614
"451","El Salvador",1970,0
"452","El Salvador",1980,1827.639691
"453","El Salvador",1990,175.1182554
"454","El Salvador",2000,3673.129461
"455","El Salvador",2010,2364.946578
"456","Eritrea",1990,17497.68345
"457","Eritrea",2000,5575.897355
"458","Estonia",2000,0.737463127
"459","Estonia",2010,0
"460","Eswatini",1980,9370.37037
"461","Eswatini",1990,3041.36253
"462","Eswatini",2000,16315.93546
"463","Eswatini",2010,6441.075947
