"","Entity","Disasters","homeless"
"1","High income","Total",151.222279789083
"2","High income","Drought",13.55127689825
"3","High income","Earthquakes",11.05206072
"4","High income","Floods",28.4807788290833
"5","High income","Storms",92.84424919
"6","High income","ExtremeTemperature",3.75314038616667
"7","High income","Fog",0
"8","High income","Wildfires",1.19787097591667
"9","High income","GlacialLakeOutbursts",NA
"10","High income","Landslides",0.105274826
"11","High income","VolcanicActivities",0.237491959083333
"12","High income","MassMovements",0.000135997583333333
"13","Low income","Total",881.820851925583
"14","Low income","Drought",692.479893041417
"15","Low income","Earthquakes",7.30943286866667
"16","Low income","Floods",114.512770459917
"17","Low income","Storms",59.7408754083333
"18","Low income","ExtremeTemperature",6.76553755641667
"19","Low income","Fog",0
"20","Low income","Wildfires",0.0815761561666667
"21","Low income","GlacialLakeOutbursts",NA
"22","Low income","Landslides",0.910475955833333
"23","Low income","VolcanicActivities",0.0196146655833333
"24","Low income","MassMovements",0.0006757405
"25","Lower middle income","Total",1656.23063346467
"26","Lower middle income","Drought",784.970015425
"27","Lower middle income","Earthquakes",19.5606484999167
"28","Lower middle income","Floods",650.685260247417
"29","Lower middle income","Storms",197.4396121545
"30","Lower middle income","ExtremeTemperature",1.712775356
"31","Lower middle income","Fog",0
"32","Lower middle income","Wildfires",0.0636468569166667
"33","Lower middle income","GlacialLakeOutbursts",NA
"34","Lower middle income","Landslides",0.575333739166667
"35","Lower middle income","VolcanicActivities",1.22271485966667
"36","Lower middle income","MassMovements",0.000626327166666667
"37","Upper middle income","Total",1289.00493072275
"38","Upper middle income","Drought",269.130498651667
"39","Upper middle income","Earthquakes",37.2953061523333
"40","Upper middle income","Floods",768.281112738333
"41","Upper middle income","Storms",176.664899152167
"42","Upper middle income","ExtremeTemperature",27.52299882775
"43","Upper middle income","Fog",0
"44","Upper middle income","Wildfires",4.60212483075
"45","Upper middle income","GlacialLakeOutbursts",NA
"46","Upper middle income","Landslides",3.75114544125
"47","Upper middle income","VolcanicActivities",1.752906086
"48","Upper middle income","MassMovements",0.0039388095
